"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Entire promoter region (39 assayed CpG sites)","LAZ Year 2","742","0.22","0.48","-1.33","-1.38","-0.05 (-0.11, 0.01)","0.13","1","-1.44","-1.46","-0.02 (-0.15, 0.11)","0.81","0.96"
"4","","WAZ Year 2","742","0.22","0.48","-1.42","-1.43","-0.01 (-0.07, 0.05)","0.79","1","-1.79","-1.81","-0.01 (-0.13, 0.1)","0.84","0.96"
"5","","WLZ Year 2","742","0.22","0.48","-0.98","-0.95","0.03 (-0.03, 0.08)","0.3","1","-1.17","-1.16","0.01 (-0.03, 0.05)","0.68","0.96"
"6","","HCZ Year 2","741","0.22","0.48","-1.78","-1.76","0.02 (-0.06, 0.1)","0.6","1","-1.69","-1.68","0.01 (-0.04, 0.06)","0.66","0.96"
"7","","","","","","","","","","","","","","",""
"8","NGFI-A transcription factor binding site (CpG site #12)","LAZ Year 2","420","-4.65","-4.14","-1.31","-1.29","0.02 (-0.09, 0.13)","0.78","1","-1.34","-1.35","-0.01 (-0.08, 0.06)","0.78","0.96"
"9","","WAZ Year 2","420","-4.65","-4.14","-1.37","-1.37","0 (-0.1, 0.11)","0.98","1","-1.81","-1.79","0.02 (-0.1, 0.14)","0.77","0.96"
"10","","WLZ Year 2","420","-4.65","-4.14","-0.94","-0.96","-0.01 (-0.11, 0.08)","0.81","1","-1.21","-1.19","0.02 (-0.12, 0.16)","0.81","0.96"
"11","","HCZ Year 2","419","-4.65","-4.14","-1.79","-1.79","0 (0, 0)","1","1","-1.68","-1.68","0 (-0.07, 0.07)","0.96","0.96"
