"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Pre-stressor cortisol","LAZ Year 2","752","-2.51","-1.66","-1.41","-1.39","0.02 (-0.07, 0.11)","0.69","1","-1.59","-1.44","0.15 (-0.01, 0.31)","0.06","0.91"
"4","","WAZ Year 2","753","-2.51","-1.66","-1.52","-1.51","0.01 (-0.16, 0.19)","0.9","1","-1.82","-1.79","0.03 (-0.09, 0.15)","0.62","0.91"
"5","","WLZ Year 2","752","-2.51","-1.66","-1.01","-1","0 (-0.16, 0.17)","0.96","1","-1.22","-1.24","-0.02 (-0.1, 0.07)","0.69","0.91"
"6","","HCZ Year 2","751","-2.51","-1.66","-1.84","-1.86","-0.02 (-0.14, 0.1)","0.76","1","-1.7","-1.71","-0.01 (-0.09, 0.06)","0.78","0.91"
"7","","","","","","","","","","","","","","",""
"8","Post-stressor cortisol","LAZ Year 2","697","-2.06","-0.6","-1.47","-1.32","0.15 (-0.08, 0.37)","0.2","0.49","-1.49","-1.47","0.02 (-0.06, 0.11)","0.56","0.91"
"9","","WAZ Year 2","697","-2.06","-0.6","-1.5","-1.34","0.16 (-0.08, 0.41)","0.19","0.49","-1.77","-1.73","0.03 (-0.12, 0.19)","0.68","0.91"
"10","","WLZ Year 2","697","-2.06","-0.6","-0.96","-0.9","0.06 (-0.17, 0.28)","0.63","1","-1.13","-1.15","-0.02 (-0.21, 0.16)","0.83","0.91"
"11","","HCZ Year 2","696","-2.06","-0.6","-1.93","-1.73","0.2 (-0.03, 0.42)","0.09","0.49","-1.73","-1.75","-0.02 (-0.16, 0.12)","0.82","0.91"
"12","","","","","","","","","","","","","","",""
"13","Pre to post-stress change in cortisol","LAZ Year 2","691","-0.01","0","-1.41","-1.4","0.01 (-0.08, 0.09)","0.83","1","-1.58","-1.61","-0.03 (-0.08, 0.02)","0.26","0.91"
"14","","WAZ Year 2","691","-0.01","0","-1.51","-1.44","0.08 (-0.02, 0.17)","0.12","0.49","-1.81","-1.79","0.02 (-0.11, 0.15)","0.75","0.91"
"15","","WLZ Year 2","691","-0.01","0","-1","-0.91","0.1 (0, 0.19)","0.04","0.49","-1.22","-1.17","0.05 (-0.09, 0.2)","0.47","0.91"
"16","","HCZ Year 2","690","-0.01","0","-1.76","-1.86","-0.1 (-0.26, 0.05)","0.18","0.49","-1.6","-1.66","-0.05 (-0.17, 0.07)","0.4","0.91"
"17","","","","","","","","","","","","","","",""
"18","Cortisol residualized gain score","LAZ Year 2","691","-0.21","0.14","-1.41","-1.41","0 (-0.09, 0.08)","0.97","1","-1.61","-1.58","0.03 (-0.02, 0.08)","0.24","0.91"
"19","","WAZ Year 2","691","-0.21","0.14","-1.44","-1.52","-0.08 (-0.18, 0.03)","0.17","0.49","-1.77","-1.83","-0.06 (-0.13, 0.01)","0.1","0.91"
"20","","WLZ Year 2","691","-0.21","0.14","-0.91","-1.01","-0.1 (-0.2, 0.01)","0.06","0.49","-1.17","-1.25","-0.09 (-0.17, -0.01)","0.03","0.91"
"21","","HCZ Year 2","690","-0.21","0.14","-1.86","-1.76","0.09 (-0.06, 0.25)","0.23","0.54","-1.69","-1.67","0.03 (-0.08, 0.13)","0.65","0.91"
"22","","","","","","","","","","","","","","",""
